item_id,user_id,parent_item_id,parent_user_id,post_type,content,lang,created_at,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,favorite_count,community
tw1890140507935797506,tw374226166,,,post,"Another Russian ‘Shadow Fleet’ LNG Tanker Abandons Voyage After Five Months, Offloads Cargo to FSU https://t.co/7fwn5vFRgJ",en,2025-02-13T20:46:28+00:00,0.0,1.0,1.0,0.0,0.0,47.0,1.0,C5
tw1890130893466911224,tw1683547132957949957,tw1889435640489713729,tw26662613,retweet,"Welcome to Canada where $56.64 worth of natural gas constitutes $82.37 in taxes. 

Canada needs tax reform now! https://t.co/ypO062GLwE",en,2025-02-13T20:08:16+00:00,2631.0,0.0,0.0,0.0,0.0,0.0,0.0,C6
tw1890047755395162395,tw15301503,,,post,"NATO is effectively dead. Europe should create its own defense alliance without Hungary, Slovakia, Austria and Switzerland.",en,2025-02-13T14:37:54+00:00,669.0,556.0,7503.0,49.0,143.0,188583.0,7503.0,C5
tw1890091022325281274,tw1046125825,tw1889808231943344383,tw1516348913481138179,retweet,"@DavidHundeyin Imagine laying  pipelines from the said country through Morocco to Spain to supply other parts of Europe with natural gas, while you could barely get adequate and stable electricity.

And then, one of my tribesmen, who happened to be a state minister for whatnot, opened his mouth… https://t.co/I0gNLG8oBW",en,2025-02-13T17:29:50+00:00,19.0,0.0,0.0,0.0,0.0,0.0,0.0,C7
tw1890072678679314840,tw1001356085951774721,tw1889347873575235771,tw1449140157903482882,retweet,"JUST IN: 🇪🇺 EU gas prices hit two-year record high, Bloomberg reports. 

""Europe is teetering on the edge of its next energy crisis after natural gas prices soared to the highest in two years."" https://t.co/b72xpBlivX",en,2025-02-13T16:16:57+00:00,643.0,0.0,0.0,0.0,0.0,0.0,0.0,C3
tw1890054372241101246,tw1450706501199269888,tw1889658956533858616,tw1760101258218573824,retweet,"@ricwe123 🚀 234% Surge in Just 2 Days!

The Baltic leadership has officially sold out its energy market to US interests—and the consequences are clear.

⚡ Reality check:
🇺🇸 U.S. liquefied natural gas (LNG) will never be price-competitive with 🇷🇺 Russian pipeline gas for Europe.

So,… https://t.co/oW9uB3WeLG",en,2025-02-13T15:04:12+00:00,7.0,0.0,0.0,0.0,0.0,0.0,0.0,C3
tw1890039248251953599,tw377460026,tw1737214426464371123,tw1151913018936053760,retweet,🚨🇵🇸 Are you surprised to learn that Gaza has MASSIVE untapped natural gas resources? https://t.co/ceBg9IKkls,en,2025-02-13T14:04:06+00:00,19120.0,0.0,0.0,0.0,0.0,0.0,0.0,C3
tw1890023267483697241,tw13657922,,,post,Trump pulled the plug on new electric vehicle charging stations in Iowa. What's next? https://t.co/wHDduTPgTn,en,2025-02-13T13:00:36+00:00,8.0,23.0,17.0,2.0,1.0,5703.0,17.0,C5
tw1890027699877601364,tw1715376954852139008,tw1890023643050394009,tw1675762000004014080,retweet,"@aravind Opposition will do what it has to.

Trump from one week is talking of reciprocal tariffs.

India should cut a trade deal with usa
 or offer some carrots to trump in form Of defence deals , oil , lng  purchase to avoid tariffs.",en,2025-02-13T13:18:13+00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,C3
tw1890024481181282729,tw1558802917720743938,tw1889985539325256075,tw1514502401486639110,retweet,"@HenriLindroos Or just stop sucking up to Trump and get LNG and oil from more trustworthy allies, even if it costs much more. 

Hardships are inevitable and Europe is currently at the brink of catastrophe (weak men create hard times), but relying too much on the US would be a huge mistake.",en,2025-02-13T13:05:25+00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0,C5
tw1888603252817604970,tw41113813,,,post,"When you listen to this interview, especially on a hypothetical West African Country. Talking about USAID works to ensure that China doesn’t have corridor into the Atlantic Ocean. One is left with no clear answer than the LNG Train 7 Project, where China Harbor Engineering Company (CHEC) is a major player, with $3B investment.

Someone needs to check if they’re  still on the project.",en,2025-02-09T14:57:58+00:00,19.0,1.0,31.0,0.0,11.0,2311.0,31.0,C7
tw1889988723234009538,tw3271515217,tw1889706783179985230,tw16335288,retweet,"Our future economic prosperity requires us to have abundant and affordable energy. We must begin exploring advanced energy technologies, remove barriers to our ability to receive and utilize natural gas and prepare for a future driven by nuclear power generation https://t.co/05zCK72CTN",en,2025-02-13T10:43:20+00:00,11.0,0.0,0.0,0.0,0.0,0.0,0.0,C2
tw1889987870120907018,tw22127591,tw1889420678547358142,tw1418472968989052932,retweet,"2022
""EU chief Ursula von der Leyen and Italian Prime  Minister Mario Draghi landed in Israel on Monday, ..

Both leaders were due to hold energy talks in Israel, which has  turned from a natural gas importer into an exporter in recent years,  cashing in major offshore finds."" https://t.co/a33LllP9Jv",en,2025-02-13T10:39:57+00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,C3
tw1889984048329802187,tw2545379226,tw1888922453990092988,tw791673132604153860,retweet,"Time to make Russia pay for its years of energy weaponisation:

-unplug Russian LNG, shadow fleet, atomic energy

-replace Russian energy with that of the US and other partners

-store US LNG gas in Europe’s largest underground storages in Ukraine—all infrastructure is in place.",en,2025-02-13T10:24:45+00:00,52.0,0.0,0.0,0.0,0.0,0.0,0.0,C5
tw1889982585012707469,tw1370170771,tw1889937669196751103,tw730198661058170880,retweet,"We need to exploit our domestic reserves of natural gas to help ensure the production of fertiliser in our country. We cannot afford to lose another vital sector of industry in the UK, especially one so pivotal to supporting agriculture. https://t.co/dirv8KEj8D",en,2025-02-13T10:18:57+00:00,19.0,0.0,0.0,0.0,0.0,0.0,0.0,C6
tw1889975663685468439,tw3362591548,tw1889842860373188891,tw746371177174679552,retweet,"Another Russian ‘Shadow Fleet’ LNG Tanker Abandons Voyage After Five Months, Offloads Cargo to Floating Storage Barge
https://t.co/1cSuHzKjMm",en,2025-02-13T09:51:26+00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,C6
tw1889974706104877187,tw1455154979711459330,tw1889792742198218944,tw2649924038,retweet,"@NewRulesGeo Gaza has 1,6 billion tonnes of natural gas in its coast, that’s why he wants Gaza, no for the resort’s in the beach",en,2025-02-13T09:47:38+00:00,4.0,0.0,0.0,0.0,0.0,0.0,0.0,C12
tw1887906267470995792,tw873135988440223745,,,post,"⚡️ #Ukraine began to export biomethane to #Europe.

For the first time, #Ukraine supplied biomethane to the European Union via pipeline in February. Work on this project took two years.

Biomethane is an eco-friendly fuel produced from organic waste. It can replace natural gas and reduce CO2 emissions.",en,2025-02-07T16:48:24+00:00,19.0,1.0,59.0,1.0,1.0,3921.0,59.0,C5
tw1889939211362709590,tw1381705437502918664,tw1889627506023477294,tw1072750589879205889,retweet,"@RupertLowe10 You really are a despicable human being. You sit every day for almost two years and see the murderous state you worship, commit a genocide, killing babies, burning sick people alive, all to build Trump's "" Riviera of the Middle East"" and steal Gaza's natural gas &amp; you attack… https://t.co/waRZR74swe",en,2025-02-13T07:26:36+00:00,7.0,0.0,0.0,0.0,0.0,0.0,0.0,C3
tw1889939029094965731,tw311587814,tw1552714511370665985,tw619855057,retweet,"Algeria's energy minister Mohamed Arkab said Thursday that Algeria, Nigeria and Niger have signed a memorandum of understanding to build a natural gas pipeline across the Sahara desert, Reuters reports. https://t.co/wr0GdDMA4g",en,2025-02-13T07:25:52+00:00,23.0,0.0,0.0,0.0,0.0,0.0,0.0,C7
tw1889917889194631180,tw2499957583,tw1889730087865487805,tw1404589702280265728,retweet,"@SeibtNaomi The only hope for Germany is to get rid of the woke mind virus, stop deindustrialization, bring natural gas and nuclear power back online and stop bringing in fake asylum seekers and deport illegals from Germany.

Only the AfD is willing to do all those things.",en,2025-02-13T06:01:52+00:00,5.0,0.0,0.0,0.0,0.0,0.0,0.0,C2
tw1889901703773954224,tw860743440,tw1889802535894221234,tw29201047,retweet,"Liquid fossil gas (LNG) is hugely damaging to the air we breathe and the planet we live on. I offered an amendment prohibiting funding that expedites LNG exports to China and other countries of concern—literally fueling our enemies.

My Republican colleagues BLOCKED it.",en,2025-02-13T04:57:33+00:00,15.0,0.0,0.0,0.0,0.0,0.0,0.0,C1
tw1889894173341524389,tw220205690,tw1889709782153728337,tw151930383,retweet,"The world—China included—needs America’s LNG, so don’t let anyone tell you that Beijing’s tariffs on this fuel are going to harm us. As a friend told me, “You can’t run a factory in Guangdong province when the lights are off.” See: https://t.co/YQaXGPKs5v. @Deborahtodd… https://t.co/TzRZbIW6gR",en,2025-02-13T04:27:38+00:00,59.0,0.0,0.0,0.0,0.0,0.0,0.0,C2
tw1889890913176133886,tw249738547,tw1889739463049286040,tw18461401,retweet,"Those sources add that the economic deal includes mining rare earth minerals, energy investments like oil and natural gas, as well as infrastructure investments. This is a joint venture, not a loan to be paid back. #Ukraine #POTUS",en,2025-02-13T04:14:40+00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,C2
tw1775908719064228108,tw3091150576,,,post,"Is Israel exploiting Gaza's natural gas reserves?

Reports suggest that Tel Aviv has granted 12 gas exploration licences to 6 local and international companies in areas within Palestinian maritime zones, thus violating international law, according to which 20 nautical miles from Gaza's coast fall within the maritime jurisdiction of the Palestinian Authority",en,2024-04-04T15:30:08+00:00,526.0,30.0,578.0,52.0,67.0,45841.0,578.0,C12
tw1889860557945315753,tw1728044309755187200,tw1758894481561071690,tw827279765287559171,retweet,"When America leads the world in producing and exporting energy, America’s economy, energy security, and allies all benefit. 

This week, the House passed Unlocking our Domestic LNG Potential Act to depoliticize the LNG approval process and unleash American energy producers from… https://t.co/H6VVuZeCp5 https://t.co/7458foNFma",en,2025-02-13T02:14:03+00:00,3083.0,0.0,0.0,0.0,0.0,0.0,0.0,C2
tw1889850821896184030,tw1833677909850005507,tw1711411914629079463,tw1599510806680535042,retweet,"Bidenworld's War On Israel, Explained:

Here are some of the dark room deals &amp; money incentives behind the Biden Blob's plans to enrich itself via natural gas deals w/ Iran -- &amp; removing the Netanyahu gov't in Israel who stands in their way.

See references in thread 👇 https://t.co/ZgVb4RPxEK",en,2025-02-13T01:35:22+00:00,2930.0,0.0,0.0,0.0,0.0,0.0,0.0,C2
tw1889799502623883612,tw453473029,tw1889763078310371762,tw1094881364887986177,quote,"Tax, tax, ban, and make energy transmission more expensive.

It’s a bold play, but it’s not free market. https://t.co/4AspVUYWII",en,2025-02-12T22:11:26+00:00,74.0,108.0,1284.0,3.0,66.0,108632.0,1284.0,C6
tw1889822399459467671,tw1231417874,tw1888660806084034675,tw243318995,retweet,"Why does Trump🇺🇸 want to take over Gaza?

Well, Gaza is rich in oil and natural gas. https://t.co/7D0EGbwiN5 https://t.co/fSG4lnDTF2",en,2025-02-12T23:42:25+00:00,18.0,0.0,0.0,0.0,0.0,0.0,0.0,C3
tw1889819766275399949,tw1005539792983998464,tw1889013842191044966,tw1088862056705593344,retweet,"ICYMI: TVA CEO Jeff Lyash, the highest paid federal employee ($17M/year) who laid plans to replace several of TVA's aging coal plants with more fossil fuel, natural gas as his contract incentivized keeping us hooked on fossil fuels… is retiring. 
https://t.co/lB6nxv8KJE https://t.co/JK9BsXEelO",en,2025-02-12T23:31:58+00:00,26.0,0.0,0.0,0.0,0.0,0.0,0.0,C1
tw1889813943826391553,tw1803766118571450368,tw1889104200430403760,tw632475061,retweet,"European natural gas prices have jumped above €58 per MWh, or $100 per barrel in oil equivalent, which is absolutely devastating for any energy-intensive production. https://t.co/WzQyzmxeT2",en,2025-02-12T23:08:49+00:00,38.0,0.0,0.0,0.0,0.0,0.0,0.0,C3
tw1855599084549111895,tw2750127259,,,post,"The Trump-Vance foreign policy wins have already begun and they haven’t even taken office yet.

✅ Migrant caravan cut in half

✅ Qatar kicked out Hamas

✅ EU talking about buying US natural gas to avoid Trump tariffs

✅ Trump-Zelensky already talking about ending Ukraine war https://t.co/EaxN2EBVCb",en,2024-11-10T13:11:11+00:00,1711.0,225.0,7044.0,79.0,217.0,1032112.0,7044.0,C2
tw1889812210098360371,tw1163747614241615874,tw1889805618795651189,tw1401592047035895812,retweet,"Another Russian ‘Shadow Fleet’ LNG Tanker abandons voyage after five months, Offloads Cargo to FSU.
US sanctions continue to severely hamper Russia’s efforts to deliver LNG from the designated Arctic LNG 2 plant to customers.  https://t.co/Ht30UrkJLV",en,2025-02-12T23:01:56+00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0,C5
tw1889798210488771004,tw1784094238218567680,tw1889789724300108065,tw1630055712704327680,retweet,"US Recipe for Europe's “colonialization”:

- Nuking Nordstream and selling expensive LNG

- US take rare earths from UKR

- More European tax money into NATO (US mil ind complex)

- Europe picks up the tap for UKR peace-keeping/rebuild

next stop China

https://t.co/ExvirSxXmG",en,2025-02-12T22:06:18+00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,C3
tw1889790003187778028,tw52036991,tw1889771367458812343,tw820723171112448001,retweet,"Power prices in Baltics nearly double after cut from Russian grid. Bad luck. 

Estonian operator Elering blamed the recent spike on low wind and solar output, higher electricity consumption due to a cold snap and an increase in natural gas prices over the past week.

Sure. 🤡 https://t.co/CEAZ5JpUN2",en,2025-02-12T21:33:42+00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0,C3
tw1889751760186581158,tw1016333727503388681,,,post,"Anyone but me thinking that these peace negotiations are going to end with a shit storm of nobody but Putin and Trump winning.
First off obviously Putin is selling all the oil and natural gas to Trump inc so he can Blow Canada out of the water price wise.
 To start with",en,2025-02-12T19:01:44+00:00,0.0,4.0,0.0,0.0,0.0,16.0,0.0,C1
tw1889736290561667479,tw1587778448487055360,tw1884611199347613920,tw1017500185356853248,retweet,"The U.S. needs investments in American energy to meet the energy demands of the future. Exciting to see Chevron, E1, and GE Vernova announce a 4+ gigawatt natural gas power project—set to be operational by 2027. Would love to see this project come to Louisiana! ⚡🇺🇸",en,2025-02-12T18:00:15+00:00,14.0,0.0,0.0,0.0,0.0,0.0,0.0,C2
tw1889735775891370159,tw1587778448487055360,tw1887267887171166692,tw1017500185356853248,retweet,Excellent to hear Secretary Wright say DOE will “return to regular order” in approving permits to export LNG. Louisiana is ready to bring American energy dominance back!,en,2025-02-12T17:58:13+00:00,21.0,0.0,0.0,0.0,0.0,0.0,0.0,C2
tw1889739456711696413,tw18461401,,,post,The deal from Pres Trump that  @SecScottBessent proposed to Ukrainian President Zelenskyy would be an economic joint venture for $500 billion dollars. Sources close to the deal say it a percent of the profits would go to Ukraine and a percentage to the U.S.  #Ukraine #POTUS https://t.co/TEUVi0wd3B,en,2025-02-12T18:12:50+00:00,8.0,2.0,19.0,2.0,0.0,4004.0,19.0,C2
tw1889715715541705163,tw726499663554199552,tw1889627470552305825,tw1647573157,retweet,I missed this a couple of days ago: European fertiliser giant Yara is mothballing (very likely for ever) its ammonia plant in northern England (Hull). Another example of the industrial impact of high natural gas prices. https://t.co/2j3YJvEo9c,en,2025-02-12T16:38:30+00:00,288.0,0.0,0.0,0.0,0.0,0.0,0.0,C6
tw1889694624135995542,tw1496209819065327624,tw1889684135402148048,tw5988592,retweet,"Another Russian ‘Shadow Fleet’ LNG Tanker Abandons Voyage After Five Months, Offloads Cargo to FSU https://t.co/FWbK5hyDZo",en,2025-02-12T15:14:41+00:00,10.0,0.0,0.0,0.0,0.0,0.0,0.0,C5
tw1889694540262461622,tw2928592226,tw1889142037477462392,tw1742809203440582656,retweet,"@DickSmithFairGo Well, you are completely incorrect. Which isn’t a surprise considering how your ran DS. 
The raising cost in power comes from the monopoly of a private supplier. 
Then lobbies groups fighting to export all the natural gas… 
You present a fear mongering terrible argument.",en,2025-02-12T15:14:21+00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,C3
tw1889690164978491598,tw1533879758391496705,tw1889343211665273307,tw1324336290159071232,retweet,We commonly hear that air pollution kills millions of people each year. What you don't hear is that this is primarily due to indoor pollution from the use of low-energy-density fuels (dung and wood) for cooking and heat. Give these people cheap natural gas and save lives.… https://t.co/gvehoN2Fu4 https://t.co/M1Sk5aug4x https://t.co/fQCjxjPTAi,en,2025-02-12T14:56:58+00:00,69.0,0.0,0.0,0.0,0.0,0.0,0.0,C6
tw1889687770492203016,tw4903652965,tw1889348903092244671,tw1449140157903482882,retweet,"Europe Faces Renewed Energy Crisis as Natural Gas Prices Surge

Europe is on the brink of another energy crisis as natural gas prices reach their highest levels in two years, raising concerns over economic stability and energy security.

After battling rising energy costs,… https://t.co/ezep2HFpiQ",en,2025-02-12T14:47:27+00:00,54.0,0.0,0.0,0.0,0.0,0.0,0.0,C3
tw1889686728295764428,tw620136960,,,post,EXXON EXECUTIVE SAYS COMPANY HAS NOT RECENTLY ENGAGED WITH FULCRUM LNG OVER GAS PROJECT IN GUYANA,en,2025-02-12T14:43:19+00:00,0.0,0.0,2.0,0.0,0.0,282.0,2.0,C3
tw1889683523088404809,tw1652463662026686467,tw1889681119219474525,tw1267392775579930624,retweet,"This Russian LNG was sanctioned by the U.S. in 2023.

It’s a new day in America, and President Trump is putting American workers first. https://t.co/ndGTcxSIBS https://t.co/IohcIMk73R",en,2025-02-12T14:30:35+00:00,5.0,0.0,0.0,0.0,0.0,0.0,0.0,C2
tw1889681392897859762,tw1844020938108456960,,,post,America and their Ashkenazi zionists pimps want Palestine because of the natural gas in the country.,en,2025-02-12T14:22:07+00:00,0.0,0.0,0.0,0.0,0.0,13.0,0.0,C3
tw1889664901783679209,tw1715358680630050816,tw1886685298618188133,tw1436021471671955465,retweet,"⚡️BREAKING 

Xi Jing Ping retaliates against Trump's tariffs 

China imposed tariffs of 10-15% on coal, natural gas, agricultural machinery and other products from the US

It also banned the export of certain critical minerals, many of which are used for high-tech products https://t.co/BbGowViHzk",en,2025-02-12T13:16:35+00:00,1756.0,0.0,0.0,0.0,0.0,0.0,0.0,C3
tw1889658409252749789,tw23326102,tw1889653180436451749,tw1741968261468790784,retweet,"Now that ""Gulf of Mexico"" regulations no longer apply, it's time to fully open up oil and natural gas drilling in the Gulf of America. https://t.co/Zn3bTW9LwU",en,2025-02-12T12:50:47+00:00,5.0,0.0,0.0,0.0,0.0,0.0,0.0,C2
tw1889651293020434677,tw151649983,tw1889614671029666089,tw34552055,retweet,"Tanzania is discussing tax incentives with investors to resume work on their $42bn LNG  plant, to unlock 47.13 trn cubic feet of gas.

It also plans to launch an exploration licensing round for 26 oil and gas blocks.

Across Africa, it seems its going to be ""Drill, Baby, drill.""",en,2025-02-12T12:22:30+00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,C7
tw1889638901402206596,tw91156289,,,post,TotalEnergies Signs LNG Supply Deal with India’s GSPC https://t.co/mefoTofFeb,en,2025-02-12T11:33:16+00:00,0.0,0.0,0.0,0.0,0.0,238.0,0.0,C5
tw1889631296260800909,tw1837691873919750146,tw1886676782830772322,tw1225234593789423616,retweet,"BREAKING: 

China imposes a 15% tariff on US coal and liquefied natural gas https://t.co/6qHX80FBSl",en,2025-02-12T11:03:03+00:00,590.0,0.0,0.0,0.0,0.0,0.0,0.0,C3
tw1889630125861245147,tw219273566,tw1889343216950083941,tw2692671516,retweet,"@Gerashchenko_en Fico is pathetic. Ukraine is essentially producing now all natural gas it needs, about 20bn m3 per year. He has no leverage. And it's the same situation with electricity.",en,2025-02-12T10:58:24+00:00,10.0,0.0,0.0,0.0,0.0,0.0,0.0,C5
tw1874438649368182824,tw110441236,,,post,"If you are wondering why YOU are paying significantly more for your energy requirements, try climate change &amp; then blame the manmade climate deniers @reformparty_uk for they have selfishly muddied the waters &amp; consequently slowed down cheaper renewable alternatives. 
@GBNEWS https://t.co/dvEgStBFg0",en,2025-01-01T12:52:54+00:00,7.0,61.0,15.0,9.0,0.0,17616.0,15.0,C10
tw1889608632314012097,tw477673884,tw1889583748221407630,tw18949452,retweet,"European natural gas prices are between three and four times higher than in the US, providing a critical handicap to the continent's companies. https://t.co/lVtpx14WV7 https://t.co/SaotAYar4Q",en,2025-02-12T09:32:59+00:00,50.0,0.0,0.0,0.0,0.0,0.0,0.0,C5
tw1889599582830485803,tw1376743121078296580,tw1889498638369562777,tw1720420640111677440,retweet,"@SkyNewsAust They’re both one and the same—Uniparty. And why would we listen to John Howard? 20 years ago, he struck a deeply flawed deal with China for Australian LNG, locking in rock-bottom prices for decades. This agreement has proven to be a massive blunder, with China securing Australian… https://t.co/9sVMhqIC0j",en,2025-02-12T08:57:02+00:00,7.0,0.0,0.0,0.0,0.0,0.0,0.0,C1
tw1889594685032702411,tw1935486890,,,post,"The fleet apparently runs on CNG......

That's neatly buried in the article.

Such a contrast to how any EV incident is reported......

https://t.co/gnEy6eITSU",en,2025-02-12T08:37:34+00:00,0.0,1.0,1.0,0.0,0.0,44.0,1.0,C3
tw1889591742200005083,tw2213388857,tw1889490180362416540,tw1501622951124340738,retweet,"@SStricklandMMA The purchase price is not for Gaza, its for the 1.3 Trillion M^3 of Natural Gas just off shore.",en,2025-02-12T08:25:52+00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,C5
tw1889590752121938236,tw121088458,,,post,"Buried in this article @Theothebald says Russia's invasion of Ukraine ""choked off"" Germany's supply of gas: as if this happened by chance and wasn't the result of Germany sanctioning itself into oblivion, and one of its ""allies"" blowing up the Nord Stream. https://t.co/UiX1PB49Uo https://t.co/oswLjrwuw8",en,2025-02-12T08:21:56+00:00,18.0,4.0,54.0,1.0,0.0,1085.0,54.0,C3
tw1889581767603978611,tw37630991,tw1889423486046568722,tw2348691160,retweet,"Why do they want to ‘take’ Gaza?

1.7B barrels of recoverable oil ($71B value)

122T cubic feet of natural gas ($453B value)

A key route for the Ben Gurion Canal, linking Israel to the Mediterranean sea

It’s not just war, it’s business.",en,2025-02-12T07:46:14+00:00,12.0,0.0,0.0,0.0,0.0,0.0,0.0,C12
tw1889569289939652739,tw1479520286622031873,tw1887621782812713014,tw1393726565809278976,retweet,"With the annexation of Gaza, guess who’s going to become a major exporter of oil and natural gas to Europe?

Israel.

$450B is worth more than 2 million lives
 https://t.co/tdijT7jFxB",en,2025-02-12T06:56:39+00:00,345.0,0.0,0.0,0.0,0.0,0.0,0.0,C12
tw1889559160741630085,tw771172147,tw1885899840690807206,tw1267392775579930624,retweet,"More pipelines

More refineries

More gas processing plants

More LNG export terminals

More drilling https://t.co/O30LQEZBxP",en,2025-02-12T06:16:24+00:00,71.0,0.0,0.0,0.0,0.0,0.0,0.0,C2
tw1889530144349470851,tw952740986064703488,tw1889480794999079177,tw16299627,retweet,"Gov. Kathy Hochul says Con Edison needs to get back to the drawing board after proposing significant double-digit increases for natural gas and electric bills. @ZinniaDee_TV explains what the governor plans to do about it and what customers have to say.
 https://t.co/z0ID7D52pT",en,2025-02-12T04:21:06+00:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,C1
tw1888646314524570019,tw16799023,,,post,"""What Trump most likely craves, as do the Israelis, is less the beaches of Gaza's 'Riviera' and more the oil and natural gas reserves that lie in its sea –worth billions– which Trump and the Zionist settler-colony can divvy up between them"" –Joseph Massad https://t.co/GeYS5xBYnN",en,2025-02-09T17:49:05+00:00,172.0,10.0,336.0,8.0,23.0,10401.0,336.0,C12
tw1889503973935333881,tw1510523360606056449,tw1889457647855788294,tw1197480887430078464,retweet,@JdubAndrew The Russian military would have zero need for heavy-duty LNG tanks with hard point plus these would not work for that purpose. LPG is used by cooks and for heating but they use standard tanks for that. These contain something else more valuable.,en,2025-02-12T02:37:07+00:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,C5
tw1889488592780603403,tw3041090446,tw1889474182951420395,tw292517193,retweet,@Fx1Jonny Gaza Marin field has 1.6 trillion cubic tones of natural gas,en,2025-02-12T01:36:00+00:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,C3
tw1889474105700978777,tw33960482,,,post,"Donald Trump's eagerness for ""ownership"" of Gaza isn't out of concern for Palestinians.  https://t.co/GNHIYyXSK0",en,2025-02-12T00:38:26+00:00,3.0,1.0,6.0,0.0,0.0,361.0,6.0,C12
tw1889456567432733004,tw413912416,,,post,"Turkmenistan has struck a deal to ship natural gas to Turkey via Iran, a government daily reported Tuesday.",en,2025-02-11T23:28:44+00:00,0.0,0.0,0.0,0.0,0.0,13.0,0.0,C3
